2026-09-11T07:44:50.445Z	gemini-3-pro-image	hero-hall	18cd54ac6c3aed69	4K	2400x1350	251690B	38.0s	USD~0.240
2026-09-11T07:45:22.299Z	gemini-3-pro-image	venue-exterior	5f130f891c46027b	2K	1600x1200	184947B	31.9s	USD~0.134
2026-09-11T07:45:51.802Z	gemini-3-pro-image	venue-detail	153856a961b4499c	2K	1600x1200	181144B	29.5s	USD~0.134
2026-09-11T07:46:12.590Z	gemini-3-pro-image	artist-01-kasimir-volt	f3294511b456ad05	1K	800x800	41646B	20.8s	USD~0.134
2026-09-11T07:46:32.323Z	gemini-3-pro-image	artist-02-lena-orbis	fa73a191b728de61	1K	800x800	27301B	19.7s	USD~0.134
2026-09-11T07:46:53.687Z	gemini-3-pro-image	artist-03-nullset	9685948f8a9a5ac6	1K	800x800	90616B	21.4s	USD~0.134
2026-09-11T07:47:16.295Z	gemini-3-pro-image	artist-04-auric-drift	b66e89a16e8b144b	1K	800x800	22309B	22.6s	USD~0.134
2026-09-11T07:47:35.645Z	gemini-3-pro-image	artist-05-mara-teschke	3d9c138947ded976	1K	800x800	66446B	19.3s	USD~0.134
2026-09-11T07:47:56.520Z	gemini-3-pro-image	artist-06-substation-9	216076e8b767f1fa	1K	800x800	48607B	20.9s	USD~0.134
2026-09-11T07:48:16.760Z	gemini-3-pro-image	artist-07-hiroko-vane	5843a7a8c78d0c64	1K	800x800	49023B	20.2s	USD~0.134
2026-09-11T07:48:37.091Z	gemini-3-pro-image	artist-08-cold-cathode	ebd05e9d8a12411d	1K	800x800	84273B	20.3s	USD~0.134
2026-09-11T07:48:57.111Z	gemini-3-pro-image	artist-09-ilse-rum	4c5c49fc70922139	1K	800x800	48510B	20.0s	USD~0.134
2026-09-11T07:49:18.538Z	gemini-3-pro-image	artist-10-tape-decay	c5045e66b71f5367	1K	800x800	36606B	21.4s	USD~0.134
2026-09-11T07:54:10.293Z	gemini-3-pro-image	artist-11-odalys-ferrer	3d109a045b7955d3	1K	800x800	32638B	21.6s	USD~0.134
2026-09-11T07:54:29.119Z	gemini-3-pro-image	artist-12-vitrine	d40eba89b098ee47	1K	800x800	56422B	18.8s	USD~0.134
2026-09-11T07:55:44.553Z	gemini-3-pro-image	og-card	44fa154696500928	2K	1200x630	58648B	29.1s	USD~0.134
